xmverilog(64): 22.03-s003: (c) Copyright 1995-2022 Cadence Design Systems, Inc.
TOOL:	xmverilog	22.03-s003: Started on May 20, 2023 at 21:23:46 CST
ncverilog
	tanh_tb.sv
	+access+r
xmverilog: *W,NCEXDEP: Executable (ncverilog) is deprecated. Use (xmverilog) instead.
Loading snapshot worklib.tanh_tb:sv .................... Done
xmsim: *W,DSEM2009: This SystemVerilog design is simulated as per IEEE 1800-2009 SystemVerilog simulation semantics. Use -disable_sem2009 option for turning off SV 2009 simulation semantics.
*Verdi* Loading libsscore_xcelium171.so
xcelium> source /usr/cad/cadence/XCELIUM/XCELIUM_22.03.003/tools/xcelium/files/xmsimrc
xcelium> run
          x,           x
-2147483648, -2147483648
-2146483648, -2147483648
-2145483648, -2147483648
-2144483648, -2147483648
-2143483648, -2147483648
-2142483648, -2147483648
-2141483648, -2147483648
-2140483648, -2147483648
-2139483648, -2147483648
-2138483648, -2147483648
-2137483648, -2147483648
-2136483648, -2147483648
-2135483648, -2147483648
-2134483648, -2147483648
-2133483648, -2147483648
-2132483648, -2147483648
-2131483648, -2147483648
-2130483648, -2147483648
-2129483648, -2147483648
-2128483648, -2147483648
-2127483648, -2147483648
-2126483648, -2147483648
-2125483648, -2147483648
-2124483648, -2147483648
-2123483648, -2147483648
-2122483648, -2147483648
-2121483648, -2147483648
-2120483648, -2147483648
-2119483648, -2147483648
-2118483648, -2147483648
-2117483648, -2147483648
-2116483648, -2147483648
-2115483648, -2147483648
-2114483648, -2147483648
-2113483648, -2147483648
-2112483648, -2147483648
-2111483648, -2147483648
-2110483648, -2147483648
-2109483648, -2147483648
-2108483648, -2147483648
-2107483648, -2147483648
-2106483648, -2147483648
-2105483648, -2147483648
-2104483648, -2147483648
-2103483648, -2147483648
-2102483648, -2147483648
-2101483648, -2147483648
-2100483648, -2147483648
-2099483648, -2147483648
-2098483648, -2147483648
-2097483648, -2147483648
-2096483648, -2147483648
-2095483648, -2147483648
-2094483648, -2147483648
-2093483648, -2147483648
-2092483648, -2147483648
-2091483648, -2147483648
-2090483648, -2147483648
-2089483648, -2147483648
-2088483648, -2147483648
-2087483648, -2147483648
-2086483648, -2147483648
-2085483648, -2147483648
-2084483648, -2147483648
-2083483648, -2147483648
-2082483648, -2147483648
-2081483648, -2147483648
-2080483648, -2147483648
-2079483648, -2147483648
-2078483648, -2147483648
-2077483648, -2147483648
-2076483648, -2147483648
-2075483648, -2147483648
-2074483648, -2147483648
-2073483648, -2147483648
-2072483648, -2147483648
-2071483648, -2147483648
-2070483648, -2147483648
-2069483648, -2147483648
-2068483648, -2147483648
-2067483648, -2147483648
-2066483648, -2147483648
-2065483648, -2147483648
-2064483648, -2147483648
-2063483648, -2147483648
-2062483648, -2147483648
-2061483648, -2147483648
-2060483648, -2147483648
-2059483648, -2147483648
-2058483648, -2147483648
-2057483648, -2147483648
-2056483648, -2147483648
-2055483648, -2147483648
-2054483648, -2147483648
-2053483648, -2147483648
-2052483648, -2147483648
-2051483648, -2147483648
-2050483648, -2147483648
-2049483648, -2147483648
-2048483648, -2147483648
-2047483648, -2147483648
-2046483648, -2147483648
-2045483648, -2147483648
-2044483648, -2147483648
-2043483648, -2147483648
-2042483648, -2147483648
-2041483648, -2147483648
-2040483648, -2147483648
-2039483648, -2147483648
-2038483648, -2147483648
-2037483648, -2147483648
-2036483648, -2147483648
-2035483648, -2147483648
-2034483648, -2147483648
-2033483648, -2147483648
-2032483648, -2147483648
-2031483648, -2147483648
-2030483648, -2147483648
-2029483648, -2147483648
-2028483648, -2147483648
-2027483648, -2147483648
-2026483648, -2147483648
-2025483648, -2147483648
-2024483648, -2147483648
-2023483648, -2147483648
-2022483648, -2147483648
-2021483648, -2147483648
-2020483648, -2147483648
-2019483648, -2147483648
-2018483648, -2147483648
-2017483648, -2147483648
-2016483648, -2147483648
-2015483648, -2147483648
-2014483648, -2147483648
-2013483648, -2147483648
-2012483648, -2147483648
-2011483648, -2147483648
-2010483648, -2147483648
-2009483648, -2147483648
-2008483648, -2147483648
-2007483648, -2147483648
-2006483648, -2147483648
-2005483648, -2147483648
-2004483648, -2147483648
-2003483648, -2147483648
-2002483648, -2147483648
-2001483648, -2147483648
-2000483648, -2147483648
-1999483648, -2147483648
-1998483648, -2147483648
-1997483648, -2147483648
-1996483648, -2147483648
-1995483648, -2147483648
-1994483648, -2147483648
-1993483648, -2147483648
-1992483648, -2147483648
-1991483648, -2147483648
-1990483648, -2147483648
-1989483648, -2147483648
-1988483648, -2147483648
-1987483648, -2147483648
-1986483648, -2147483648
-1985483648, -2147483648
-1984483648, -2147483648
-1983483648, -2147483648
-1982483648, -2147483648
-1981483648, -2147483648
-1980483648, -2147483648
-1979483648, -2147483648
-1978483648, -2147483648
-1977483648, -2147483648
-1976483648, -2147483648
-1975483648, -2147483648
-1974483648, -2147483648
-1973483648, -2147483648
-1972483648, -2147483648
-1971483648, -2147483648
-1970483648, -2147483648
-1969483648, -2147483648
-1968483648, -2147483648
-1967483648, -2147483648
-1966483648, -2147483648
-1965483648, -2147483648
-1964483648, -2147483648
-1963483648, -2147483648
-1962483648, -2147483648
-1961483648, -2147483648
-1960483648, -2147483648
-1959483648, -2147483648
-1958483648, -2147483648
-1957483648, -2147483648
-1956483648, -2147483648
-1955483648, -2147483648
-1954483648, -2147483648
-1953483648, -2147483648
-1952483648, -2147483648
-1951483648, -2147483648
-1950483648, -2147483648
-1949483648, -2147483648
-1948483648, -2147483648
-1947483648, -2147483648
-1946483648, -2147483648
-1945483648, -2147483648
-1944483648, -2147483648
-1943483648, -2147483648
-1942483648, -2147483648
-1941483648, -2147483648
-1940483648, -2147483648
-1939483648, -2147483648
-1938483648, -2147483648
-1937483648, -2147483648
-1936483648, -2147483648
-1935483648, -2147483648
-1934483648, -2147483648
-1933483648, -2147483648
-1932483648, -2147483648
-1931483648, -2147483648
-1930483648, -2147483648
-1929483648, -2147483648
-1928483648, -2147483648
-1927483648, -2147483648
-1926483648, -2147483648
-1925483648, -2147483648
-1924483648, -2147483648
-1923483648, -2147483648
-1922483648, -2147483648
-1921483648, -2147483648
-1920483648, -2147483648
-1919483648, -2147483648
-1918483648, -2147483648
-1917483648, -2147483648
-1916483648, -2147483648
-1915483648, -2147483648
-1914483648, -2147483648
-1913483648, -2147483648
-1912483648, -2147483648
-1911483648, -2147483648
-1910483648, -2147483648
-1909483648, -2147483648
-1908483648, -2147483648
-1907483648, -2147483648
-1906483648, -2147483648
-1905483648, -2147483648
-1904483648, -2147483648
-1903483648, -2147483648
-1902483648, -2147483648
-1901483648, -2147483648
-1900483648, -2147483648
-1899483648, -2147483648
-1898483648, -2147483648
-1897483648, -2147483648
-1896483648, -2147483648
-1895483648, -2147483648
-1894483648, -2147483648
-1893483648, -2147483648
-1892483648, -2147483648
-1891483648, -2147483648
-1890483648, -2147483648
-1889483648, -2147483648
-1888483648, -2147483648
-1887483648, -2147483648
-1886483648, -2147483648
-1885483648, -2147483648
-1884483648, -2147483648
-1883483648, -2147483648
-1882483648, -2147483648
-1881483648, -2147483648
-1880483648, -2147483648
-1879483648, -2147483648
-1878483648, -2147483648
-1877483648, -2147483648
-1876483648, -2147483648
-1875483648, -2147483648
-1874483648, -2147483648
-1873483648, -2147483648
-1872483648, -2147483648
-1871483648, -2147483648
-1870483648, -2147483648
-1869483648, -2147483648
-1868483648, -2147483648
-1867483648, -2147483648
-1866483648, -2147483648
-1865483648, -2147483648
-1864483648, -2147483648
-1863483648, -2147483648
-1862483648, -2147483648
-1861483648, -2147483648
-1860483648, -2147483648
-1859483648, -2147483648
-1858483648, -2147483648
-1857483648, -2147483648
-1856483648, -2147483648
-1855483648, -2147483648
-1854483648, -2147483648
-1853483648, -2147483648
-1852483648, -2147483648
-1851483648, -2147483648
-1850483648, -2147483648
-1849483648, -2147483648
-1848483648, -2147483648
-1847483648, -2147483648
-1846483648, -2147483648
-1845483648, -2147483648
-1844483648, -2147483648
-1843483648, -2147483648
-1842483648, -2147483648
-1841483648, -2147483648
-1840483648, -2147483648
-1839483648, -2147483648
-1838483648, -2147483648
-1837483648, -2147483648
-1836483648, -2147483648
-1835483648, -2147483648
-1834483648, -2147483648
-1833483648, -2147483648
-1832483648, -2147483648
-1831483648, -2147483648
-1830483648, -2147483648
-1829483648, -2147483648
-1828483648, -2147483648
-1827483648, -2147483648
-1826483648, -2147483648
-1825483648, -2147483648
-1824483648, -2147483648
-1823483648, -2147483648
-1822483648, -2147483648
-1821483648, -2147483648
-1820483648, -2147483648
-1819483648, -2147483648
-1818483648, -2147483648
-1817483648, -2147483648
-1816483648, -2147483648
-1815483648, -2147483648
-1814483648, -2147483648
-1813483648, -2147483648
-1812483648, -2147483648
-1811483648, -2147483648
-1810483648, -2147483648
-1809483648, -2147483648
-1808483648, -2147483648
-1807483648, -2147483648
-1806483648, -2147483648
-1805483648, -2147483648
-1804483648, -2147483648
-1803483648, -2147483648
-1802483648, -2147483648
-1801483648, -2147483648
-1800483648, -2147483648
-1799483648, -2147483648
-1798483648, -2147483648
-1797483648, -2147483648
-1796483648, -2147483648
-1795483648, -2147483648
-1794483648, -2147483648
-1793483648, -2147483648
-1792483648, -2147483648
-1791483648, -2147483648
-1790483648, -2147483648
-1789483648, -2147483648
-1788483648, -2147483648
-1787483648, -2147483648
-1786483648, -2147483648
-1785483648, -2147483648
-1784483648, -2147483648
-1783483648, -2147483648
-1782483648, -2147483648
-1781483648, -2147483648
-1780483648, -2147483648
-1779483648, -2147483648
-1778483648, -2147483648
-1777483648, -2147483648
-1776483648, -2147483648
-1775483648, -2147483648
-1774483648, -2147483648
-1773483648, -2147483648
-1772483648, -2147483648
-1771483648, -2147483648
-1770483648, -2147483648
-1769483648, -2147483648
-1768483648, -2147483648
-1767483648, -2147483648
-1766483648, -2147483648
-1765483648, -2147483648
-1764483648, -2147483648
-1763483648, -2147483648
-1762483648, -2147483648
-1761483648, -2147483648
-1760483648, -2147483648
-1759483648, -2147483648
-1758483648, -2147483648
-1757483648, -2147483648
-1756483648, -2147483648
-1755483648, -2147483648
-1754483648, -2147483648
-1753483648, -2147483648
-1752483648, -2147483648
-1751483648, -2147483648
-1750483648, -2147483648
-1749483648, -2147483648
-1748483648, -2147483648
-1747483648, -2147483648
-1746483648, -2147483648
-1745483648, -2147483648
-1744483648, -2147483648
-1743483648, -2147483648
-1742483648, -2147483648
-1741483648, -2147483648
-1740483648, -2147483648
-1739483648, -2147483648
-1738483648, -2147483648
-1737483648, -2147483648
-1736483648, -2147483648
-1735483648, -2147483648
-1734483648, -2147483648
-1733483648, -2147483648
-1732483648, -2147483648
-1731483648, -2147483648
-1730483648, -2147483648
-1729483648, -2147483648
-1728483648, -2147483648
-1727483648, -2147483648
-1726483648, -2147483648
-1725483648, -2147483648
-1724483648, -2147483648
-1723483648, -2147483648
-1722483648, -2147483648
-1721483648, -2147483648
-1720483648, -2147483648
-1719483648, -2147483648
-1718483648, -2147483648
-1717483648, -2147483648
-1716483648, -2147483648
-1715483648, -2147483648
-1714483648, -2147483648
-1713483648, -2147483648
-1712483648, -2147483648
-1711483648, -2147483648
-1710483648, -2147483648
-1709483648, -2147483648
-1708483648, -2147483648
-1707483648, -2147483648
-1706483648, -2147483648
-1705483648, -2147483648
-1704483648, -2147483648
-1703483648, -2147483648
-1702483648, -2147483648
-1701483648, -2147483648
-1700483648, -2147483648
-1699483648, -2147483648
-1698483648, -2147483648
-1697483648, -2147483648
-1696483648, -2147483648
-1695483648, -2147483648
-1694483648, -2147483648
-1693483648, -2147483648
-1692483648, -2147483648
-1691483648, -2147483648
-1690483648, -2147483648
-1689483648, -2147483648
-1688483648, -2147483648
-1687483648, -2147483648
-1686483648, -2147483648
-1685483648, -2147483648
-1684483648, -2147483648
-1683483648, -2147483648
-1682483648, -2147483648
-1681483648, -2147483648
-1680483648, -2147483648
-1679483648, -2147483648
-1678483648, -2147483648
-1677483648, -2147483648
-1676483648, -2147483648
-1675483648, -2147483648
-1674483648, -2147483648
-1673483648, -2147483648
-1672483648, -2147483648
-1671483648, -2147483648
-1670483648, -2147483648
-1669483648, -2147483648
-1668483648, -2147483648
-1667483648, -2147483648
-1666483648, -2147483648
-1665483648, -2147483648
-1664483648, -2147483648
